Date,Calories (kcal),Heart Points,Heart Minutes,Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms)
11/19/20,1855.064003,73,39,5951,4550.91069,0.697279253,1.967513919,0.25701496,46,74499894,3285438
11/20/20,3292.130125,124,73,14568,10637.11723,0.993097594,1.932699919,0.25701496,144,52814698,25843818
11/21/20,1905.982476,24,19,5915,4085.147626,1.024859364,1.808982611,0.245622784,67,65841157,4193041
11/22/20,2595.412067,126,70,10051,7806.536143,0.808691101,1.912217379,0.31055972,76,68299906,14989866
11/23/20,1970.61822,67,44,7722,5709.609383,0.719740731,1.872671485,0.269429207,69,74003815,5208057
11/24/20,1948.588051,58,38,7101,5191.996787,0.748264095,1.972061992,0.27273798,66,76101111,4860734
11/25/20,3029.747337,119,78,13778,10174.79483,0.871810226,1.972310305,0.254575819,130,54956134,21789044
11/26/20,1718.374699,,,586,298.4323512,0.696206383,1.294639587,0.29123497,6,80855454,1112995
11/27/20,2190.311629,101,61,12724,9110.190508,0.942103706,1.899407625,0.305054039,124,65900006,8347845
11/28/20,1997.920852,63,41,8183,5898.690261,0.882987258,1.914139867,0.25701496,80,65803680,5455692
11/29/20,1902.379652,90,50,7915,6063.249999,0.980543093,1.920671582,0.337067544,63,75352599,4026825
11/30/20,2945.403553,133,76,11226,8621.047478,0.800677336,1.880381227,0.250184566,88,61392412,20464866
12/1/20,1970.055231,112,68,10286,7808.212791,0.921310806,1.950871468,0.25701496,84,73655521,5042461
12/2/20,1963.595412,78,43,8390,6215.122432,0.659785342,1.976426482,0.261743486,76,57766853,4734516
12/3/20,2808.056456,112,66,14051,10217.09891,0.771568597,1.994027853,0.255920738,139,53481183,18305611
12/4/20,2331.550799,141,97,14533,10906.00729,1.160842421,1.936397076,0.268948942,121,69345239,10857199
12/5/20,2123.174379,119,72,12395,9253.731265,0.956591949,1.943249106,0.250388533,114,69441214,7320020
12/6/20,2296.794719,128,69,9650,7594.040529,1.217740459,1.947149038,0.372513235,73,73303722,10007007
12/7/20,2831.244009,132,79,12165,9284.942303,0.763254024,2.004280806,0.278432846,101,62844762,18660646
12/8/20,2069.022449,79,45,8072,6038.73419,0.724253144,1.895191669,0.253272653,70,71829419,6697932
12/9/20,2134.684984,116,70,12243,9246.676469,0.882804295,1.927338719,0.246776745,112,64758920,7557721
12/10/20,3371.317599,124,70,10907,8364.910811,0.785943818,1.943200231,0.289141834,92,52993378,27110444
12/11/20,2245.33106,204,118,17503,13499.78687,1.074278911,1.944032669,0.289141834,145,71109164,8833859
12/12/20,1795.991734,16,12,3426,2326.104643,0.988108364,1.857286811,0.274854153,37,66327646,2470556
12/13/20,2115.32611,58,52,8074,5929.314143,0.835713055,1.738398194,0.244341865,70,75729540,7263074
12/14/20,2106.850997,101,66,10368,7857.615059,0.68684815,1.931396842,0.247784883,90,72565155,7286095
12/15/20,1898.835708,32,26,4768,3242.479787,0.596723895,1.899021149,0.247809976,66,70004712,3107769
12/16/20,2141.256502,112,63,9870,7471.540367,0.570234188,1.878242135,0.25701496,85,72838618,7874407
12/17/20,1819.083354,50,30,5069,3720.006957,0.617980585,1.865753174,0.248591349,46,78764545,2828275
12/18/20,2479.659264,129,71,11599,8814.139219,0.84493427,2.041893721,0.244249851,99,58737522,13168407
12/19/20,2146.347577,61,32,8624,6086.503896,0.708692075,1.875463843,0.267723888,89,66852090,7959287
12/20/20,2040.289555,127,73,10330,7939.394575,0.701649277,1.881268859,0.249527857,81,73124104,6298834
12/21/20,2571.978087,81,43,8117,5587.935132,0.622746821,1.932603002,0.267338902,73,67885525,14622984
12/22/20,2096.155507,70,39,9160,6432.7827,0.626088847,1.900400639,0.255075127,94,62908906,7063484
12/23/20,2475.789741,195,106,15662,12216.61867,0.892597299,2.005061626,0.251594007,122,58923976,12880483
12/24/20,2043.645328,132,75,11562,8887.099919,1.114600962,1.982099175,0.299850762,94,71286047,6002550
12/25/20,1641.873278,,,161,52.385131,1.029539824,1.029539824,1.029539824,1,82786678,61203
12/26/20,3149.587198,126,80,15209,11201.8461,0.947958547,1.858085036,0.25701496,150,49830364,23659080
12/27/20,2042.300022,126,71,10414,8047.770972,0.81123904,1.995122552,0.258958012,82,79045372,5729529
12/28/20,2961.133161,90,59,11469,8219.105069,0.700170497,1.869273067,0.240983218,112,48770261,20715623
12/29/20,2108.561755,133,78,12533,9645.659419,1.006754382,2.059863329,0.247279555,111,74692753,7261111
12/30/20,2154.735161,130,76,10830,8348.001594,0.841758185,1.958677769,0.267054945,85,71984865,7991978
12/31/20,2040.849149,102,59,10300,7711.071852,0.838029979,2.007071972,0.262428433,92,71709899,6093935
