Date,Calories (kcal),Heart Points,Heart Minutes,Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms)
4/28/20,2136.643787,120,69,12121,8984.962347,0.688246026,2.124331474,0.249349222,106,77100689,6953337
4/29/20,1718.319618,2,2,2469,1337.893423,0.582593876,1.495426774,0.298395187,31,85673014,726986
4/30/20,1912.828232,68,47,6863,5103.715589,0.721500181,1.847002625,0.267723888,54,82224813,3499188
5/1/20,1966.935554,73,57,9303,6720.146214,0.60626699,1.944191933,0.287344426,83,81750960,4435998
5/2/20,1929.184397,21,16,6991,4503.536567,0.990654718,1.846042395,0.259861559,86,76412954,3851264
5/3/20,1999.310702,84,63,9047,6693.500726,0.625448522,1.815876961,0.290012628,77,81470151,4929849
5/4/20,1793.599075,5,3,1954,1088.624164,0.584707965,1.520751834,0.267723888,31,84605477,1148911
5/5/20,2093.372438,93,80,11820,8652.769287,0.839484509,1.909412861,0.24263835,109,76550295,6174023
5/6/20,2989.876415,87,63,8915,6511.877146,0.750155357,1.844852686,0.25701496,87,66445664,19264963
5/7/20,1822.282536,11,11,4708,2974.301114,0.719723801,1.794261694,0.245320708,60,80268732,2279747
5/8/20,1669.715521,,,153,40.75312728,,,,,86400000,
5/9/20,1669.715481,,,164,82.916206,0.526442268,0.803199351,0.321268678,1,86400000,
5/10/20,1982.744108,92,55,8895,6582.894907,0.723276332,2.033216715,0.254889399,75,81659639,4681580
5/11/20,2291.067974,170,109,16190,11059.807,0.574442172,2.123517752,0.250251681,139,76604592,9188649
5/12/20,2143.658881,91,65,9861,7246.05472,0.862352321,1.875933409,0.282277822,83,78842509,6940464
5/13/20,2263.644102,108,81,15269,10922.43303,0.678853759,1.866837978,0.253097296,149,72845050,8870674
5/14/20,1674.779499,,,191,55.9994967,0.682563558,1.043858409,0.321268708,,86324256,75744
5/15/20,1669.715515,,,547,245.8036313,0.530513958,1.067412615,0.267723888,5,86400000,
5/16/20,1924.254238,77,48,7523,5496.459121,0.507214016,1.9436692,0.256664276,66,82592793,3807207
5/17/20,1970.487274,80,51,7532,5652.737881,1.054879424,1.846032381,0.250267357,66,81901272,4498728
5/18/20,2131.510956,129,71,12776,9655.265508,0.805173802,2.102473974,0.25786081,113,71808997,6829722
5/19/20,1985.389893,95,52,8586,6327.072121,0.813615516,1.93120718,0.246535987,75,79141152,4556948
5/20/20,1989.099279,105,61,9585,7097.444688,0.830621754,2.046844006,0.253516972,76,81700704,4699296
5/21/20,1673.78818,,,331,103.6151227,0.50398528,0.656519771,0.314563006,1,86339084,60916
5/22/20,2270.841703,112,72,12908,9337.208915,0.787153187,1.943214536,0.25701496,124,73020544,8988427
5/23/20,1669.715515,,,231,68.45642322,0.988209847,1.040362358,0.92240262,3,86400000,
5/24/20,2198.817429,99,75,12361,8870.763499,0.709858003,1.84725666,0.25701496,112,77948960,7913928
5/25/20,1690.443889,,,1005,393.229007,0.569971256,0.847920239,0.321268678,8,86089958,310042
5/26/20,2112.733351,87,57,11961,8469.653898,0.85540825,1.868942022,0.246293604,123,73885768,6590460
5/27/20,2040.822543,94,59,10439,7583.850611,0.757287784,1.9108603,0.246268034,103,80116460,5483771
5/28/20,2246.006196,131,83,14129,10366.61995,0.862835429,1.884646058,0.251703531,126,70740227,8498518
5/29/20,2144.367583,108,89,12682,9463.422385,0.800698851,1.884847164,0.279254317,112,79300495,7099505
5/30/20,1669.715514,,,178,64.73884392,0.479034892,1.303862691,0.433287203,1,86400000,
5/31/20,1808.499599,19,16,3613,2501.614044,0.799067939,1.887845874,0.27597639,42,80202926,1804044
6/1/20,2805.495522,316,214,29516,21797.76172,1.199025637,1.933927536,0.25701496,241,69447974,16952026
6/2/20,1878.904177,14,14,6076,3936.602119,1.052191271,1.814033151,0.254822254,76,77794139,3128896
